id,VehicleMake,Year
580,CHEVROLET,2008
581,CHRYSLER,2008
582,DODGE,2008
583,NANFENG,2008
584,SUBARU,2008
585,DFM,2008
586,HAFEI,2008
587,MAZDA,2008
588,TATA,2008
589,US TRUCK,2008
590,DAIHATSU,2008
591,JAGUAR,2008
592,JEEP,2008
593,SAAB,2008
594,ASTON,2008
595,LOTUS,2008
596,CHERY,2008
597,OPEL,2008
598,SSANGYONG,2008
599,GWM,2008
600,POLARSUN,2008
601,PORSCHE,2008
602,ALFA ROMEO,2008
603,BENTLEY,2008
604,DTV,2008
605,FOTON,2008
606,FORCE,2008
607,FUDI,2008
608,GEELY,2008
609,HUMMER,2008
610,ISUZU,2008
611,IVECO,2008
612,MAHINDRA,2008
613,MEIYA,2008
614,MORGAN,2008
615,SMART,2008
616,SOYAT,2008
617,DODGE,2007
618,FORCE,2007
619,BMW,2007
620,CHEVROLET,2007
621,MAZDA,2007
622,MERCEDES-BENZ,2007
623,MINI,2007
624,PEUGEOT,2007
625,TATA,2007
626,TOYOTA,2007
627,AUDI,2007
628,BENTLEY,2007
629,DAIHATSU,2007
630,GONOW,2007
631,GEELY,2007
632,HYUNDAI,2007
633,ISUZU,2007
634,LAND ROVER,2007
635,MITSUBISHI,2007
636,NISSAN,2007
637,OPEL,2007
638,RENAULT,2007
639,SUBARU,2007
640,C.A.M,2007
641,FORD,2007
642,PORSCHE,2007
643,VOLVO,2007
644,FIAT,2007
645,HONDA,2007
646,JEEP,2007
647,MAHINDRA,2007
648,SSANGYONG,2007
649,VOLKSWAGEN,2007
650,ALFA ROMEO,2007
651,CHANA,2007
652,DFM,2007
653,FUDI,2007
654,JAGUAR,2007
655,KIA,2007
656,SOYAT,2007
657,CHRYSLER,2007
658,FOTON,2007
659,MEIYA,2007
660,GWM,2007
661,HUMMER,2007
662,LOTUS,2007
663,SEAT,2007
664,CADILLAC,2007
665,ASTON,2007
666,CITROEN,2007
667,DTV,2007
668,IVECO,2007
669,LEXUS,2007
670,MORGAN,2007
671,PROTON,2007
672,SAAB,2007
673,SMART,2007
674,PEUGEOT,2006
675,LEXUS,2006
676,MAZDA,2006
677,MERCEDES-BENZ,2006
678,OPEL,2006
679,TATA,2006
680,VOLKSWAGEN,2006
681,VOLVO,2006
682,ALFA ROMEO,2006
683,AUDI,2006
684,BMW,2006
685,DAIHATSU,2006
686,FIAT,2006
687,FORD,2006
688,HYUNDAI,2006
689,JAGUAR,2006
690,KIA,2006
691,NISSAN,2006
692,PORSCHE,2006
693,SSANGYONG,2006
694,SUBARU,2006
695,TOYOTA,2006
696,CHANA,2006
697,HONDA,2006
698,CHRYSLER,2006
699,CITROEN,2006
700,DODGE,2006
701,JEEP,2006
702,MAHINDRA,2006
703,RENAULT,2006
704,B.A.W,2006
705,CHEVROLET,2006
706,SEAT,2006
707,MINI,2006
708,BENTLEY,2006
709,MITSUBISHI,2006
710,PROTON,2006
711,ASTON,2006
712,DTV,2006
713,ISUZU,2006
714,IVECO,2006
715,LAND ROVER,2006
716,LOTUS,2006
717,NOBLE,2006
718,SAAB,2006
719,SMART,2006
720,SUZUKI,2006
721,TVR,2006
722,AUDI,2005
723,BMW,2005
724,DAIHATSU,2005
725,CHEVROLET,2005
726,CHRYSLER,2005
727,CITROEN,2005
728,DTV,2005
729,FIAT,2005
730,MAZDA,2005
731,NISSAN,2005
732,OPEL,2005
733,PORSCHE,2005
734,SSANGYONG,2005
735,SUBARU,2005
736,TOYOTA,2005
737,VOLVO,2005
738,FORD,2005
739,HONDA,2005
740,HYUNDAI,2005
741,JAGUAR,2005
742,KIA,2005
743,MERCEDES-BENZ,2005
744,PEUGEOT,2005
745,VOLKSWAGEN,2005
746,HUMMER,2005
747,LAND ROVER,2005
748,RENAULT,2005
749,MAHINDRA,2005
750,PROTON,2005
751,TATA,2005
752,ALFA ROMEO,2005
753,ISUZU,2005
754,IVECO,2005
755,JEEP,2005
756,LOTUS,2005
757,MITSUBISHI,2005
758,ASTON,2005
759,FAW,2005
760,LEXUS,2005
761,MINI,2005
762,NOBLE,2005
763,SAAB,2005
764,SMART,2005
765,SUZUKI,2005
766,TVR,2005
767,MAHINDRA,2004
768,TATA,2004
769,TVR,2004
770,VOLKSWAGEN,2004
771,ALFA ROMEO,2004
772,DAIHATSU,2004
773,HONDA,2004
774,HYUNDAI,2004
775,JEEP,2004
776,KIA,2004
777,MITSUBISHI,2004
778,MINI,2004
779,NISSAN,2004
780,PEUGEOT,2004
781,PORSCHE,2004
782,RENAULT,2004
783,SAAB,2004
784,SUBARU,2004
785,AUDI,2004
786,CHRYSLER,2004
787,FIAT,2004
788,ISUZU,2004
789,OPEL,2004
790,TOYOTA,2004
791,VOLVO,2004
792,BMW,2004
793,JAGUAR,2004
794,MAZDA,2004
795,ROVER,2004
796,SMART,2004
797,IVECO,2004
798,MERCEDES-BENZ,2004
799,SSANGYONG,2004
800,CHEVROLET,2004
801,CITROEN,2004
802,FORD,2004
803,MG,2004
804,LAND ROVER,2004
805,ASTON,2004
806,FAW,2004
807,FERRARI,2004
808,LAMBORGHINI,2004
809,LEXUS,2004
810,LOTUS,2004
811,NOBLE,2004
812,SUZUKI,2004
813,CITROEN,2003
814,CHRYSLER,2003
815,FIAT,2003
816,MG,2003
817,BMW,2003
818,CHEVROLET,2003
819,HONDA,2003
820,Hyundai,2003
821,Jeep,2003
822,Kia,2003
823,MAZDA,2003
824,OPEL,2003
825,PORSCHE,2003
826,RENAULT,2003
827,SUBARU,2003
828,Toyota,2003
829,VOLVO,2003
830,Audi,2003
831,FORD,2003
832,LAND ROVER,2003
833,MITSUBISHI,2003
834,MERCEDES-BENZ,2003
835,NISSAN,2003
836,VOLKSWAGEN,2003
837,Jaguar,2003
838,Peugeot,2003
839,Rover,2003
840,Smart,2003
841,Isuzu,2003
842,ALFA ROMEO,2003
843,Daihatsu,2003
844,LEXUS,2003
845,BENTLEY,2003
846,FAW,2003
847,FERRARI,2003
848,LOTUS,2003
849,Mini,2003
850,Saab,2003
851,SSANGYONG,2003
852,Suzuki,2003
853,Kia,2002
854,Saab,2002
855,Audi,2002
856,Jeep,2002
857,MERCEDES-BENZ,2002
858,Toyota,2002
859,Volvo,2002
860,Citroen,2002
861,Ford,2002
862,LAND ROVER,2002
863,MG,2002
864,MITSUBISHI,2002
865,NISSAN,2002
866,OPEL,2002
867,Peugeot,2002
868,SSANGYONG,2002
869,Subaru,2002
870,VOLKSWAGEN,2002
871,ALFA ROMEO,2002
872,BMW,2002
873,HYUNDAI,2002
874,Mazda,2002
875,Isuzu,2002
876,RENAULT,2002
877,Chrysler,2002
878,Fiat,2002
879,Mini,2002
880,Jaguar,2002
881,Rover,2002
882,SMART,2002
883,ASTON,2002
884,CHEVROLET,2002
885,Daewoo,2002
886,Daihatsu,2002
887,Daimler,2002
888,FAW,2002
889,FERRARI,2002
890,Honda,2002
891,LEXUS,2002
892,Porsche,2002
893,Suzuki,2002
894,TVR,2002
895,Chrysler,2001
896,Jeep,2001
897,BMW,2001
898,Ford,2001
899,RENAULT,2001
900,Suzuki,2001
901,Audi,2001
902,Daewoo,2001
903,Honda,2001
904,MERCEDES-BENZ,2001
905,MG,2001
906,OPEL,2001
907,Peugeot,2001
908,Porsche,2001
909,Rover,2001
910,Saab,2001
911,Toyota,2001
912,Isuzu,2001
913,Kia,2001
914,MITSUBISHI,2001
915,Fiat,2001
916,Volvo,2001
917,MAZDA,2001
918,ALFA ROMEO,2001
919,CHEVROLET,2001
920,Citroen,2001
921,NISSAN,2001
922,VOLKSWAGEN,2001
923,TVR,2001
924,Daihatsu,2001
925,Hyundai,2001
926,SSANGYONG,2001
927,Subaru,2001
928,ASTON,2001
929,BENTLEY,2001
930,Daimler,2001
931,FAW,2001
932,FERRARI,2001
933,Jaguar,2001
934,Lada,2001
935,LAND ROVER,2001
936,LEXUS,2001
937,LOTUS,2001
938,ALFA ROMEO,2000
939,Audi,2000
940,Daewoo,2000
941,LAND ROVER,2000
942,LEXUS,2000
943,Mazda,2000
944,MERCEDES-BENZ,2000
945,RENAULT,2000
946,Subaru,2000
947,BMW,2000
948,Ford,2000
949,KIA,2000
950,NISSAN,2000
951,Toyota,2000
952,VOLKSWAGEN,2000
953,Volvo,2000
954,Chrysler,2000
955,MITSUBISHI,2000
956,Daihatsu,2000
957,Hyundai,2000
958,LOTUS,2000
959,Peugeot,2000
960,PORSCHE,2000
961,Isuzu,2000
962,Fiat,2000
963,Honda,2000
964,OPEL,2000
965,ASTON,2000
966,BENTLEY,2000
967,Daimler,2000
968,FERRARI,2000
969,Jaguar,2000
970,Jeep,2000
971,LAMBORGHINI,2000
972,Lada,2000
973,NOBLE,2000
974,Saab,2000
975,SSANGYONG,2000
976,Suzuki,2000
977,TVR,2000
978,MERCEDES-BENZ,1999
979,Subaru,1999
980,DAEWOO,1999
981,Kia,1999
982,OPEL,1999
983,SSANGYONG,1999
984,VOLKSWAGEN,1999
985,Toyota,1999
986,RENAULT,1999
987,Audi,1999
988,BMW,1999
989,MITSUBISHI,1999
990,Peugeot,1999
991,Volvo,1999
992,ALFA ROMEO,1999
993,Chrysler,1999
994,Daihatsu,1999
995,LAND ROVER,1999
996,LEXUS,1999
997,NISSAN,1999
998,Ford,1999
999,Hyundai,1999
1000,Jeep,1999
1001,Suzuki,1999
1002,ASTON,1999
1003,BENTLEY,1999
1004,Daimler,1999
1005,FERRARI,1999
1006,Fiat,1999
1007,Honda,1999
1008,Isuzu,1999
1009,Jaguar,1999
1010,MAHINDRA,1999
1011,Mazda,1999
1012,NOBLE,1999
1013,Porsche,1999
1014,Saab,1999
1015,TVR,1999
1016,BMW,1998
1017,Hyundai,1998
1018,NISSAN,1998
